BillingCity,InvoiceDollars
Prague,90.24
Paris,77.24
Mountain View,77.24
Berlin,75.24
London,75.24
São Paulo,75.24
Fort Worth,47.62
Santiago,46.62
Budapest,45.62
Dublin,45.62
Salt Lake City,43.62
Chicago,43.62
Frankfurt,43.62
Madison,42.62
Vienne,42.62
Helsinki,41.62
Dijon,40.62
Amsterdam,40.62
Lisbon,39.62
Redmond,39.62
Bordeaux,39.62
Montréal,39.62
Orlando,39.62
Oslo,39.62
São José dos Campos,39.62
Cupertino,38.62
Delhi,38.62
Stockholm,38.62
Vancouver,38.62
Brasília,37.62
Buenos Aires,37.62
Copenhagen,37.62
Edmonton,37.62
Halifax,37.62
Lyon,37.62
New York,37.62
Ottawa,37.62
Porto,37.62
Rome,37.62
Sidney,37.62
Stuttgart,37.62
Tucson,37.62
Warsaw,37.62
Winnipeg,37.62
Boston,37.62
Brussels,37.62
Edinburgh ,37.62
Madrid,37.62
Reno,37.62
Rio de Janeiro,37.62
Toronto,37.62
Yellowknife,37.62
Bangalore,36.64
